57;BSB DISBRAVE;TABELA IMOVEL 50%;REPRESENTANTE - COM CONSULTOR
58;BSB DISBRAVE;TABELA IMOVEL 50%;REPRESENTANTE DN - 2023
59;BSB DISBRAVE;TABELA IMOVEL 50%;REPRESENTAÇÃO - EDUARDO
60;BSB DISBRAVE;TABELA IMOVEL 50%;REPRESENTAÇÃO - LOCARFLEX
61;BSB DISBRAVE;TABELA IMOVEL 50%;SUPERVISOR CLT - INSIDE SALES
62;BSB DISBRAVE;TABELA IMOVEL 50%;SUPERVISOR EQUIPE CLT - JUNIOR 01/01/18 Á 18/06/2018
63;BSB DISBRAVE;TABELA IMOVEL 50%;SUPERVISOR EQUIPE CLT - JUNIOR A PARTIR DE 19/06/2018 
64;BSB DISBRAVE;TABELA IMOVEL 50%;SUPERVISOR EQUIPE CLT - PLENO ATE DEZ 2017
65;BSB DISBRAVE;TABELA IMOVEL 50%;SUPERVISOR EQUIPE CLT - PLENO INICIO JAN 2018
66;BSB DISBRAVE;TABELA IMOVEL 50%;SUPERVISOR TELL
67;BSB DISBRAVE;TABELA IMOVEL 50%;TIPO DN 2 - JUNHO2021
68;BSB DISBRAVE;TABELA IMOVEL 50%;VENDEDOR DE PARCEIRO - DEZ/17
69;BSB DISBRAVE;TABELA IMOVEL 50%;VENDEDOR DE PARCEIRO - JAN/2018
70;BSB DISBRAVE;TABELA IMOVEL 50%;VENDEDOR PARCEIRO - TIPO DN
71;BSB DISBRAVE;TABELA IMOVEL ;CONSULTOR 007 - EQ. INTERNAS
72;BSB DISBRAVE;TABELA IMOVEL ;CONSULTOR 007 - EQ. INTERNAS - INSIDE SALES
73;BSB DISBRAVE;TABELA IMOVEL ;CONSULTOR AUTÔNOMO - MEI
74;BSB DISBRAVE;TABELA IMOVEL ;CONSULTOR CLT - A PARTIR JAN-2018
75;BSB DISBRAVE;TABELA IMOVEL ;CONSULTOR DE PARCEIRO
76;BSB DISBRAVE;TABELA IMOVEL ;CONSULTOR FREE LANCER
77;BSB DISBRAVE;TABELA IMOVEL ;CONSULTOR INSIDE SALES CLT
78;BSB DISBRAVE;TABELA IMOVEL ;CONSULTOR INTERNO INSIDE SALES
79;BSB DISBRAVE;TABELA IMOVEL ;CONSULTOR MEI - CONTRATO TEMPORÁRIO
80;BSB DISBRAVE;TABELA IMOVEL ;CONSULTOR TELL
81;BSB DISBRAVE;TABELA IMOVEL ;FUNCIONARIO/ESTAGIÁRIO
82;BSB DISBRAVE;TABELA IMOVEL ;GERENTE EQUIPE INTERNA
83;BSB DISBRAVE;TABELA IMOVEL ;PARCEIRINHO
84;BSB DISBRAVE;TABELA IMOVEL ;PARCEIRINHO - SUPERVISOR 
85;BSB DISBRAVE;TABELA IMOVEL ;PARCEIRINHO EQUIPE RODRIGO
86;BSB DISBRAVE;TABELA IMOVEL ;PARCEIRINHO RODRIGO - FREE LANCE
87;BSB DISBRAVE;TABELA IMOVEL ;PARCEIRINHO SOBRAL
88;BSB DISBRAVE;TABELA IMOVEL ;PARCEIRO FERREIRA
89;BSB DISBRAVE;TABELA IMOVEL ;PARCEIRO TIPO DN A PARTIR 19-07-2018
90;BSB DISBRAVE;TABELA IMOVEL ;PARCEIROS EMPRESA - CONTRATOS A PARTIR JAN-2018
91;BSB DISBRAVE;TABELA IMOVEL ;PARCEIROS EMPRESAS - CONTRATO ATÉ DEZ-2017
92;BSB DISBRAVE;TABELA IMOVEL ;REPRESENTANTE - COM CONSULTOR
93;BSB DISBRAVE;TABELA IMOVEL ;REPRESENTANTE DN - 2023
94;BSB DISBRAVE;TABELA IMOVEL ;REPRESENTAÇÃO - EDUARDO
95;BSB DISBRAVE;TABELA IMOVEL ;REPRESENTAÇÃO - LOCARFLEX
96;BSB DISBRAVE;TABELA IMOVEL ;SUPERVISOR CLT - INSIDE SALES
97;BSB DISBRAVE;TABELA IMOVEL ;SUPERVISOR EQUIPE CLT - JUNIOR 01/01/18 Á 18/06/2018
98;BSB DISBRAVE;TABELA IMOVEL ;SUPERVISOR EQUIPE CLT - JUNIOR A PARTIR DE 19/06/2018 
99;BSB DISBRAVE;TABELA IMOVEL ;SUPERVISOR EQUIPE CLT - PLENO ATE DEZ 2017
100;BSB DISBRAVE;TABELA IMOVEL ;SUPERVISOR EQUIPE CLT - PLENO INICIO JAN 2018
101;BSB DISBRAVE;TABELA IMOVEL ;SUPERVISOR TELL
102;BSB DISBRAVE;TABELA IMOVEL ;TIPO DN 2 - JUNHO2021
103;BSB DISBRAVE;TABELA IMOVEL ;VENDEDOR DE PARCEIRO - DEZ/17
104;BSB DISBRAVE;TABELA IMOVEL ;VENDEDOR DE PARCEIRO - JAN/2018
105;BSB DISBRAVE;TABELA IMOVEL ;VENDEDOR PARCEIRO - TIPO DN
106;BSB DISBRAVE;TABELA IMOVEL 100%;CONSULTOR 007 - EQ. INTERNAS
107;BSB DISBRAVE;TABELA IMOVEL 100%;CONSULTOR 007 - EQ. INTERNAS - INSIDE SALES
108;BSB DISBRAVE;TABELA IMOVEL 100%;CONSULTOR AUTÔNOMO - MEI
109;BSB DISBRAVE;TABELA IMOVEL 100%;CONSULTOR CLT - A PARTIR JAN-2018
110;BSB DISBRAVE;TABELA IMOVEL 100%;CONSULTOR DE PARCEIRO
111;BSB DISBRAVE;TABELA IMOVEL 100%;CONSULTOR FREE LANCER
112;BSB DISBRAVE;TABELA IMOVEL 100%;CONSULTOR INSIDE SALES CLT
113;BSB DISBRAVE;TABELA IMOVEL 100%;CONSULTOR INTERNO INSIDE SALES
114;BSB DISBRAVE;TABELA IMOVEL 100%;CONSULTOR MEI - CONTRATO TEMPORÁRIO
115;BSB DISBRAVE;TABELA IMOVEL 100%;CONSULTOR TELL
116;BSB DISBRAVE;TABELA IMOVEL 100%;FUNCIONARIO/ESTAGIÁRIO
117;BSB DISBRAVE;TABELA IMOVEL 100%;GERENTE EQUIPE INTERNA
118;BSB DISBRAVE;TABELA IMOVEL 100%;PARCEIRINHO
119;BSB DISBRAVE;TABELA IMOVEL 100%;PARCEIRINHO - SUPERVISOR 
120;BSB DISBRAVE;TABELA IMOVEL 100%;PARCEIRINHO EQUIPE RODRIGO
121;BSB DISBRAVE;TABELA IMOVEL 100%;PARCEIRINHO RODRIGO - FREE LANCE
122;BSB DISBRAVE;TABELA IMOVEL 100%;PARCEIRINHO SOBRAL
123;BSB DISBRAVE;TABELA IMOVEL 100%;PARCEIRO FERREIRA
124;BSB DISBRAVE;TABELA IMOVEL 100%;PARCEIRO TIPO DN A PARTIR 19-07-2018
125;BSB DISBRAVE;TABELA IMOVEL 100%;PARCEIROS EMPRESA - CONTRATOS A PARTIR JAN-2018
126;BSB DISBRAVE;TABELA IMOVEL 100%;PARCEIROS EMPRESAS - CONTRATO ATÉ DEZ-2017
127;BSB DISBRAVE;TABELA IMOVEL 100%;REPRESENTANTE - COM CONSULTOR
128;BSB DISBRAVE;TABELA IMOVEL 100%;REPRESENTANTE DN - 2023
129;BSB DISBRAVE;TABELA IMOVEL 100%;REPRESENTAÇÃO - EDUARDO
130;BSB DISBRAVE;TABELA IMOVEL 100%;REPRESENTAÇÃO - LOCARFLEX
131;BSB DISBRAVE;TABELA IMOVEL 100%;SUPERVISOR CLT - INSIDE SALES
132;BSB DISBRAVE;TABELA IMOVEL 100%;SUPERVISOR EQUIPE CLT - JUNIOR 01/01/18 Á 18/06/2018
133;BSB DISBRAVE;TABELA IMOVEL 100%;SUPERVISOR EQUIPE CLT - JUNIOR A PARTIR DE 19/06/2018 
134;BSB DISBRAVE;TABELA IMOVEL 100%;SUPERVISOR EQUIPE CLT - PLENO ATE DEZ 2017
135;BSB DISBRAVE;TABELA IMOVEL 100%;SUPERVISOR EQUIPE CLT - PLENO INICIO JAN 2018
136;BSB DISBRAVE;TABELA IMOVEL 100%;SUPERVISOR TELL
137;BSB DISBRAVE;TABELA IMOVEL 100%;TIPO DN 2 - JUNHO2021
138;BSB DISBRAVE;TABELA IMOVEL 100%;VENDEDOR DE PARCEIRO - DEZ/17
139;BSB DISBRAVE;TABELA IMOVEL 100%;VENDEDOR DE PARCEIRO - JAN/2018
140;BSB DISBRAVE;TABELA IMOVEL 100%;VENDEDOR PARCEIRO - TIPO DN
141;CAIXA;TABELA IMOVEL;CONSULTOR 007 - EQ. INTERNAS
142;CAIXA;TABELA IMOVEL;CONSULTOR 007 - EQ. INTERNAS - INSIDE SALES
143;CAIXA;TABELA IMOVEL;CONSULTOR AUTÔNOMO - MEI
144;CAIXA;TABELA IMOVEL;CONSULTOR CLT - A PARTIR JAN-2018
145;CAIXA;TABELA IMOVEL;CONSULTOR DE PARCEIRO
146;CAIXA;TABELA IMOVEL;CONSULTOR FREE LANCER
147;CAIXA;TABELA IMOVEL;CONSULTOR INSIDE SALES CLT
148;CAIXA;TABELA IMOVEL;CONSULTOR INTERNO INSIDE SALES
149;CAIXA;TABELA IMOVEL;CONSULTOR MEI - CONTRATO TEMPORÁRIO
150;CAIXA;TABELA IMOVEL;CONSULTOR TELL
151;CAIXA;TABELA IMOVEL;FUNCIONARIO/ESTAGIÁRIO
152;CAIXA;TABELA IMOVEL;GERENTE EQUIPE INTERNA
153;CAIXA;TABELA IMOVEL;PARCEIRINHO
154;CAIXA;TABELA IMOVEL;PARCEIRINHO - SUPERVISOR 
155;CAIXA;TABELA IMOVEL;PARCEIRINHO EQUIPE RODRIGO
156;CAIXA;TABELA IMOVEL;PARCEIRINHO RODRIGO - FREE LANCE
157;CAIXA;TABELA IMOVEL;PARCEIRINHO SOBRAL
158;CAIXA;TABELA IMOVEL;PARCEIRO FERREIRA
159;CAIXA;TABELA IMOVEL;PARCEIRO TIPO DN A PARTIR 19-07-2018
160;CAIXA;TABELA IMOVEL;PARCEIROS EMPRESA - CONTRATOS A PARTIR JAN-2018
161;CAIXA;TABELA IMOVEL;PARCEIROS EMPRESAS - CONTRATO ATÉ DEZ-2017
162;CAIXA;TABELA IMOVEL;REPRESENTANTE - COM CONSULTOR
163;CAIXA;TABELA IMOVEL;REPRESENTANTE DN - 2023
164;CAIXA;TABELA IMOVEL;REPRESENTAÇÃO - EDUARDO
165;CAIXA;TABELA IMOVEL;REPRESENTAÇÃO - LOCARFLEX
166;CAIXA;TABELA IMOVEL;SUPERVISOR CLT - INSIDE SALES
167;CAIXA;TABELA IMOVEL;SUPERVISOR EQUIPE CLT - JUNIOR 01/01/18 Á 18/06/2018
168;CAIXA;TABELA IMOVEL;SUPERVISOR EQUIPE CLT - JUNIOR A PARTIR DE 19/06/2018 
169;CAIXA;TABELA IMOVEL;SUPERVISOR EQUIPE CLT - PLENO ATE DEZ 2017
